threshold,accuracy,precision,recall,f1_score,specificity,true_positives,false_positives,false_negatives,true_negatives
0.3,0.668464265155876,0.38096097179625954,0.9070733104238259,0.5365688391987464,0.6044268531683511,6335,10294,649,15729
0.35,0.7066682824855334,0.40992254273504275,0.8790091638029782,0.5591074681238616,0.6604157860354302,6139,8837,845,17186
0.4,0.7482352228315206,0.4492886645250115,0.8410652920962199,0.5857014657493269,0.7233216769780578,5874,7200,1110,18823
0.45,0.7707455994183052,0.4754691576201296,0.8089919816723941,0.5989293475380294,0.7604811128616993,5650,6233,1334,19790
0.5,0.8035871178840852,0.5246579387735013,0.7631729667812142,0.6218281514320714,0.814433385850978,5330,4829,1654,21194
0.55,0.8330051201260339,0.58916888781197,0.6963058419243986,0.63827273920462,0.8696921953656381,4863,3391,2121,22632
0.6,0.8367316023873724,0.6005294340098324,0.6821305841924399,0.6387343299591071,0.8782231103254813,4764,3169,2220,22854
0.65,0.8367316023873724,0.6005294340098324,0.6821305841924399,0.6387343299591071,0.8782231103254813,4764,3169,2220,22854
0.7,0.8448813887963159,0.6298050139275766,0.6474799541809851,0.638520192036148,0.8978595857510664,4522,2658,2462,23365
