model,train_accuracy,test_accuracy,precision,recall,f1_score,roc_auc,pr_auc,brier_score,overfit_gap_accuracy
Decision Tree - Gini,0.8062624977276859,0.8035871178840852,0.5246579387735013,0.7631729667812142,0.6218281514320714,0.8695262262271384,0.6747329319478169,0.1434059330443947,0.002675379843600667
Decision Tree - Entropy,0.8053005514148943,0.8023752537340564,0.5226580163177037,0.76131156930126,0.6198053272716676,0.8702403601114338,0.6818511978001384,0.14267155835076734,0.002925297680837935
Random Forest,0.8009225595346301,0.7971036446814312,0.5135339054984438,0.779639175257732,0.6192073690794336,0.8699916760127473,0.6711738539945113,0.14684861647260733,0.0038189148531988515
Tuned Random Forest,0.7996576380052112,0.7956494077013967,0.5112217109587754,0.779495990836197,0.6174785912777179,0.869516525803084,0.6701048159259804,0.14696862993842755,0.004008230303814475
